time	V(in)	V(out)	V(out)*(Id(M1)+Id(M2))
1.101300000000000e+001	7.000000e-001	1.515346e+000	1.579192e-005
1.101600000000000e+001	4.000000e-001	1.698996e+000	7.474513e-006
1.102000000000000e+001	4.352074e-014	1.800027e+000	-1.749449e-009
1.102040000000000e+001	0.000000e+000	1.800077e+000	-4.993195e-009
1.102280000000000e+001	0.000000e+000	1.800000e+000	1.157244e-011
1.200000000000000e+001	0.000000e+000	1.800000e+000	1.299600e-011
1.200095312500000e+001	9.531250e-002	1.794147e+000	6.508103e-007
1.200285937500000e+001	2.859375e-001	1.753725e+000	3.976990e-006
1.200618750000000e+001	6.187500e-001	1.585263e+000	1.415129e-005
1.201000000000000e+001	1.000000e+000	1.285103e+000	2.571303e-005
1.201114375000000e+001	1.000000e+000	1.285074e+000	2.571909e-005
1.202836250000000e+001	1.000000e+000	1.285112e+000	2.571118e-005
1.204558125000000e+001	1.000000e+000	1.285141e+000	2.570515e-005
1.206280000000000e+001	1.000000e+000	1.285161e+000	2.570098e-005
1.208001875000000e+001	1.000000e+000	1.285172e+000	2.569869e-005
1.209723750000000e+001	1.000000e+000	1.285174e+000	2.569826e-005
1.211445625000000e+001	1.000000e+000	1.285167e+000	2.569971e-005
1.213167500000000e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.301000000000000e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.301100000000000e+001	9.000000e-001	1.341044e+000	2.204119e-005
1.301300000000000e+001	7.000000e-001	1.515346e+000	1.579192e-005
1.301600000000000e+001	4.000000e-001	1.698996e+000	7.474513e-006
1.302000000000000e+001	4.352074e-014	1.800027e+000	-1.749449e-009
1.302040000000000e+001	0.000000e+000	1.800077e+000	-4.993195e-009
1.302280000000000e+001	0.000000e+000	1.800000e+000	1.157244e-011
1.400000000000000e+001	0.000000e+000	1.800000e+000	1.299600e-011
1.400095312500000e+001	9.531250e-002	1.794147e+000	6.508103e-007
1.400285937500000e+001	2.859375e-001	1.753725e+000	3.976990e-006
1.400618750000000e+001	6.187500e-001	1.585263e+000	1.415129e-005
1.401000000000000e+001	1.000000e+000	1.285103e+000	2.571303e-005
1.401114375000000e+001	1.000000e+000	1.285074e+000	2.571909e-005
1.402836250000000e+001	1.000000e+000	1.285112e+000	2.571118e-005
1.404558125000000e+001	1.000000e+000	1.285141e+000	2.570515e-005
1.406280000000000e+001	1.000000e+000	1.285161e+000	2.570098e-005
1.408001875000000e+001	1.000000e+000	1.285172e+000	2.569869e-005
1.409723750000000e+001	1.000000e+000	1.285174e+000	2.569826e-005
1.411445625000000e+001	1.000000e+000	1.285167e+000	2.569971e-005
1.413167500000000e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.501000000000000e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.501100000000000e+001	9.000000e-001	1.341044e+000	2.204119e-005
1.501300000000000e+001	7.000000e-001	1.515346e+000	1.579192e-005
1.501600000000000e+001	4.000000e-001	1.698996e+000	7.474513e-006
1.502000000000000e+001	4.352074e-014	1.800027e+000	-1.749449e-009
1.502040000000000e+001	0.000000e+000	1.800077e+000	-4.993195e-009
1.502280000000000e+001	0.000000e+000	1.800000e+000	1.157244e-011
1.600000000000000e+001	0.000000e+000	1.800000e+000	1.299600e-011
1.600095312500000e+001	9.531250e-002	1.794147e+000	6.508103e-007
1.600285937500000e+001	2.859375e-001	1.753725e+000	3.976990e-006
1.600618750000000e+001	6.187500e-001	1.585263e+000	1.415129e-005
1.601000000000000e+001	1.000000e+000	1.285103e+000	2.571303e-005
1.601114375000000e+001	1.000000e+000	1.285074e+000	2.571909e-005
1.602836250000000e+001	1.000000e+000	1.285112e+000	2.571118e-005
1.604558125000000e+001	1.000000e+000	1.285141e+000	2.570515e-005
1.606280000000000e+001	1.000000e+000	1.285161e+000	2.570098e-005
1.608001874999999e+001	1.000000e+000	1.285172e+000	2.569869e-005
1.609723749999999e+001	1.000000e+000	1.285174e+000	2.569826e-005
1.611445624999999e+001	1.000000e+000	1.285167e+000	2.569971e-005
1.613167499999998e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.644417499999998e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.701000000000000e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.701100000000000e+001	9.000000e-001	1.341044e+000	2.204119e-005
1.701300000000000e+001	7.000000e-001	1.515346e+000	1.579192e-005
1.701600000000001e+001	4.000000e-001	1.698996e+000	7.474513e-006
1.702000000000000e+001	4.352074e-014	1.800027e+000	-1.749449e-009
1.702040000000000e+001	0.000000e+000	1.800077e+000	-4.993195e-009
1.702280000000000e+001	0.000000e+000	1.800000e+000	1.157244e-011
1.800000000000000e+001	0.000000e+000	1.800000e+000	1.299600e-011
1.800095312500000e+001	9.531250e-002	1.794147e+000	6.508103e-007
1.800285937500000e+001	2.859375e-001	1.753725e+000	3.976990e-006
1.800618750000000e+001	6.187500e-001	1.585263e+000	1.415129e-005
1.801000000000000e+001	1.000000e+000	1.285103e+000	2.571303e-005
1.801114375000000e+001	1.000000e+000	1.285074e+000	2.571909e-005
1.802836250000000e+001	1.000000e+000	1.285112e+000	2.571118e-005
1.804558125000000e+001	1.000000e+000	1.285141e+000	2.570515e-005
1.806280000000000e+001	1.000000e+000	1.285161e+000	2.570098e-005
1.808001875000000e+001	1.000000e+000	1.285172e+000	2.569869e-005
1.809723750000000e+001	1.000000e+000	1.285174e+000	2.569826e-005
1.811445625000000e+001	1.000000e+000	1.285167e+000	2.569971e-005
1.813167499999999e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.901000000000000e+001	1.000000e+000	1.285151e+000	2.570303e-005
1.901100000000000e+001	9.000000e-001	1.341044e+000	2.204119e-005
1.901300000000000e+001	7.000000e-001	1.515346e+000	1.579192e-005
1.901600000000001e+001	4.000000e-001	1.698996e+000	7.474513e-006
1.902000000000000e+001	4.352074e-014	1.800027e+000	-1.749449e-009
1.902040000000000e+001	0.000000e+000	1.800077e+000	-4.993195e-009
1.902280000000000e+001	0.000000e+000	1.800000e+000	1.157244e-011
1.999046875000000e+001	0.000000e+000	1.800000e+000	1.299600e-011
2.000000000000000e+001	0.000000e+000	1.800000e+000	1.299600e-011
